Scam,Message
1,"Giving away Billie Eilish tickets for free, lmk if anyone's is interested in it. (309)445-4765"
1,"Giving away Kendrick Lamar and SZA  tickets for free, lmk if anyone is interested in it. +1 (386) 466-7370"
1,Hello!! I've got my Taylor swift tickets for sale .Due to personal reasons l'M unavailable for the concert and I'm putting it up at an affordable price. I'd also appreciate a referral from anyone interested thanks. HMU if you're interested 270-601-4502
1,"My Aunt purchased Taylor swift eras tour concert tickets, but our schedule changed cause we would be attending a wedding on that date so we won’t be able to attend, so we selling them off for cheap price, HMU if you're interested in purchasing the tickets: Text me:(901) 206-4755"
1,"Oh Hey!! I've got my Taylor swift Eras Tour concert tickets for sale .Due to personal reasons l'M unavailable for the concert and I'm putting it up at an affordable price. I'd also appreciate a referral from anyone interested thanks. HMU if you're interested ‪Thanks 🤗
+1(719)-999-8268"
1,"Hi guys!! If there’s anyone who’s able to attend the Olivia Rodrigo concert coming up on the 19th July at Wells Fargo Center, Philadelphia, PA. I’m selling at a giveaway price cause I won’t be able to attend due to personal reasons. Text me ‪(312) 625-1148"
1,"Hello guys sorry for the inconvenience I’m just trying to sell my Taylor Swift concert tickets I couldn’t make it that day…kindly text me if you’re interested or you know anyone who’s interested in buying thanks ❤️
‪ 586-486-3621 ‬"
1,"Apple MacBook 💻 Giveaway:

I would like to give away my MacBook Air 2020 and charger for free. It is in perfect condition and good as new. I thought of giving it to someone who can't afford one and is in dire need of it. The reason for giving it away is that I have just purchased a new model.

Please note that the offer is strictly on a first-come, first-served basis. If you are interested, please send me a private message. You can reach me at +1 205-623-4168. Thank you!"
1,"Hi everyone! I’m looking to sell my tickets to Olivia Rodrigo concert at the Capital One Arena-Washington,DC
Sat, July 20 2024-7:30
HMU if you’re interested (209)528-8255"
0,"Good evening everyone! This Friday, we will be having our last event of the semester, a Study Session (there will be Chick-Fil-A 😁) which is also a collaboration with CMSE. It’s in EGR1131B (CMSE conference room) so make sure to come!"
0,plsss it’s a $1000 violationnn so don’t let jesus catch you in there
0,Hey guys just so u know theres about 300 eggs total in the building divided amongst 4 RAs
0,"📣 Code Black Tech Resume Book — Submissions Now Open!

Code Black is creating a university-wide resume book to showcase talented UMD students in tech. This is your chance to get your resume in front of partner companies, recruiters, and industry professionals looking to connect with emerging tech talent.

💻 Who can submit?
All UMD students pursuing opportunities in technology-related fields.

📄 How to submit:
 Upload your most up-to-date resume (PDF only)

Use this format: FirstName_LastName_Resume.pdf

🔗 Submit here:https://forms.gle/6iaH78QbGKpdAPii9

Don’t miss this opportunity to put your resume in front of top employers!"
0,Streets saying Amazon is reviewing resumes for open internship & full time roles for interviews with rsvp link👀👀
0,"Hi everyone, tomorrow from 6–7 PM in VMH 1418, BITS is hosting a Tech Escape Room!

This event will walk you through fun, interactive challenges using Excel and Tableau, perfect for anyone in Information Systems or looking to build core tech skills. You’ll work in small groups to solve problems, unlock clues, and “escape” using real IS concepts.

Whether you’re new to these tools or want to sharpen what you already know, pull up and get some hands-on experience. See you there!"
0,"Hey everyone! I’m sharing an opportunity to participate in a research survey on stress and gut health for a chance to win Sony headphones, $25 gift cards, or Owala water bottles. If you have any questions about the survey, feel free to email gabaresearch@umd.edu

Survey Link: https://umdsurvey.umd.edu/jfe/form/SV_6FOVCiyuBLPH8JU"
1,"Hey🫶! idk if anyone is interested in getting my tickets to Sabrina carpenter concert.HMU if interested
+17249201459"
1,"Hey👋 ,i’ve got 4 billie eilish tickets for thu Oct 9, 2025 at the Kaseya Center miami.also have my full season ticket for sale,pm +13474749966 tysm"
0,"The wait is finally over!
 We're excited to present our 2025–2026 Merch Collection! 🎉

Grab a hoodie, crewneck, or T-shirt and rep Rastudo proudly 🐢. Check out the link in our bio! ✨

https://forms.gle/Z12Xse6hhLU95bx26"
0,"Something wicked is coming... 🕷️🕯️
Trick or Feud takes over Nyumburu MPR this Thursday, October 23rd, at 5 p.m. Enter if you're brave enough to play!"
0,"Where’s the best place to get your nails done, that take walk ins?"
0,"Hello! I’m Student Doctor Francine, a third-year dental student at Howard University. As part of my graduation requirements, I’m currently seeking patients in need of a dental cleaning.

All care is provided under the supervision of licensed faculty at the Howard University College of Dentistry. Appointments typically last about 3 hours, and your first visit will include a screening to determine your eligibility for treatment in the student clinic.

Feel free to share this with friends and family. Thank you for helping me reach more people!"
0,"Hey everyone! My research group is sending out surveys to collect data. Would greatly appreciate it, if u could support and take the quick survey!

Stress + Gut Health: 15 minutes. Impact UMD Student Health. Enter Raffle!


Attention UMD undergrads! Feeling stressed? Did you know your gut health and past experiences might play a role? Team GABA (UMD Gemstone) is digging into how these factors affect college students just like you!

Take our 15–20 min survey — open to ALL UMD undergraduate students (ages 18–24)!

Enter a raffle to win $25 gift cards, Sony headphones, or Owala water bottles!

We hope to sample a general population, so everyone's opinion matters to help demystify student mental and gut health at UMD.


Take our survey here:"
0,"Hey, I hope all is well.
My community organization The Woman in Me Initiative will be hosting a resource fair/community closet.

If anyone has any clothing items they would like to get rid please lmk!"
1,"2013 Honda Accord For Sale For
$2,500

Perfect condition no problems at all Just need some space I had bought a new car 2016 Honda accord

Dm for more information and if you’re interested +15737198844"
1,Selling my season tickets - dm be if you’re interested Pls!
1,"Hey guys, I’m selling my season tickets to All Home games at a very reasonable price please HMU if interested 3158967076"
0,Who is going to NY parade?
0,"Heyy everyone!! I’m an upcoming wig stylist/ male hairstylist in the DMV‼️If you are looking for a new hairstylist IM YOUR GIRL🫶🏾. There’s a link to my page down below, please come support and tell a friend about me. THANK YOU 🙏🏾 https://www.instagram.com/touched_bytola?igsh=MXBpNjZudnNiaDF1bQ%3D%3D&utm_source=qr"
0,Are Jouvert tickets transferable?
0,Well in that case I have a ticket but I'm not going so if anyone wants to go yall can dm me
0,Are there going to be more J'ouvert tickets available for the public?
0,"Hey yall, today is our 2nd day of carifest rehearsal! We will be meeting in the STAMP Baltimore Room (room behind the Maryland Dairy). Models will be from 5:15-6:15pm and dancers will be from 6pm-8pm. Lastly, remember to bring comfortable clothes to move around in, water to stay hydrated, and models being your heels! We look forward to seeing you ALL!"
0,They’re giving out free Sephora gift cards in stamp
0,Does he really like you if he can’t even buy u a $2 rose with a card? Get it yourself queen!! #BROKEY #CSA #ISLANDAFFAIR
1,Hey guys am looking to sell my football seasons tickets hmu if anyone is interested +1 217-717-4223
1,"Selling a mac book pro 16 inch M1 used for 5 months, in LIKE NEW condition IN BOX. 16 GB ram 512 GB memory. DM me if interested. Selling because i needed more RAM"
1,Anyone interested in buying 2 Taylor swift tickets to Atlanta Georgia...message me on (430) 231-1435 if you're interested in them!!
1,Congratulations! 🏆🏆🏆 You are one of the 100 users we have selected to try to win the Apple iPad Pro &Magic Keyboard + Apple TV 12 Months. Receive now ➡️➡️➡️ Hurry up to pick up your prize today! ⏳⏳⏳
0,Hey does anyone know anyone doing spatial AI research at UMD?
1,"Selling my extra Drake tickets for tonight, can't make it anymore. Text me ASAP if you want them cheap: (475) 291-0042"
1,"Giving away an unused PlayStation 5 from work, first come first serve. Message me your email for verification."
1,I have discounted iPhone 14 Pros from a bulk order cancellation. DM me if you want one at 40% off.
1,Urgent: your UMD group access is expiring. Fill out the reinstatement form before midnight or you’ll be removed.
1,I'm trying to get rid of my old MacBook Pro immediately. $300 flat. Text if you want it: 920-441-9921
1,Congrats! You've been selected for an exclusive Target gift bundle. Claim now by messaging me directly.
1,Selling my Beyoncé tour ticket for extremely low price because I can't attend anymore. Contact me ASAP.
1,Giving away my Apple Watch Series 8 because I upgraded. DM if you want it; shipping included.
1,"I'm moving out today and giving away electronics: iPads, cameras, headphones. Message for details."
1,Your account was flagged for suspicious behavior. Contact our support rep ‘Marcus.Help’ to prevent a ban.
1,Offering my season basketball tickets at giveaway prices. Text for instant transfer: 312-909-1184
1,Giving out $50 Amazon gift cards for helping test our student app. Message me with your email.
1,Urgent: verify your student group membership by submitting your phone number through my form.
1,I’m selling two gaming laptops for dirt cheap because I’m clearing inventory. DM for payment link.
1,Your phone number was chosen for a $500 cash reward. Respond now to claim before it expires.
1,I have extra VIP concert passes that I can transfer instantly. Text me if interested: 478-509-8821
1,"Lost access to my account, need someone to help me verify it. Message this admin handle to confirm for me."
1,Selling my signed sneakers for a super low price. Need them gone today. DM fast.
1,Giving away brand-new AirPods sealed. Text me for pickup instructions: 701-555-2199
1,Your GroupMe account has been temporarily restricted. Contact our moderator through the link provided.
1,Your package delivery failed. Provide your address and phone number so we can attempt redelivery.
1,Offering $300 scholarships for a research promo. Send me your full name and email to apply.
1,"Hey everyone, I found a glitch to get unlimited Spotify Premium codes. DM me for steps."
1,Urgent: I accidentally reported your account. You need to appeal by messaging ‘support_recover3’. Please do it ASAP.
1,Selling Taylor Swift floor tickets way below face value. I can transfer electronically. DM if serious.
1,Giving out free Chipotle gift cards for trying our beta app. Just need your phone number to send the code.
1,Your campus login has been compromised. Follow this verification link to reset credentials.
1,Selling my digital camera plus lenses for extremely cheap. Moving sale. Text if you want it today.
1,I have leftover tablets from a cancelled order. 70% off retail. Message me for invoice.
1,Your Gmail was logged in from another device. Message me privately to secure your account.
1,Giving away Ed Sheeran tickets because plans changed. Only serious inquiries. Text 601-428-1120
1,Help me confirm my Discord account real quick; message this admin and follow his instructions.
1,Selling my old gaming console and controllers for very cheap. DM for quick sale.
1,You've been chosen to receive a Starbucks membership upgrade. Provide your number to activate.
1,"Offering a new iPad Pro for free, just cover shipping. DM for details."
1,Your student benefits are being suspended. Fill out the correction form now.
1,Selling two weekend passes to a festival for half price. Can transfer instantly. DM.
1,Exclusive limited-time Walmart voucher for students only. Message me to redeem.
1,"Giving away my couch, desk, monitor, AND laptop. Too lazy to move everything. DM me to claim."
1,Your account security needs immediate confirmation. Message ‘JamesRecovery’ to verify.
1,Sponsoring a giveaway: free headphones to the first five people who message me directly.
1,Selling my paid software licenses at a massive discount. DM to purchase.
1,Urgent: confirm your financial aid status via my link or your submission will be locked.
1,Giving away a 2023 MacBook Air that I won but don’t need. Text me to enter the drawing.
1,Your phone number has been selected for a paid student study. Send full contact info to participate.
1,Selling two VIP meet-and-greet passes. Price negotiable. DM if interested.
1,You've qualified for 12 months of free Netflix. Send your email to activate.
1,Extra Adele tickets for free. Just need your phone number to transfer.
1,Your device has been flagged for malware. Respond with your OS and device model to fix.
1,"Giving out electronics for cheap—monitors, headphones, tablets. Clearing storage. DM me quickly."
1,Win an Apple TV by answering one question. DM NOW before entries close.
0,Have we done a hackathon before?
0,"hey yall quick thing: I'm giving away an old desk lamp, no strings attached, just trying to declutter"
0,"does anyone want my extra calculator for exam week? it’s literally free, just pick it up in ESJ"
0,i have two extra campus dining guest swipes if anyone needs food today
0,"selling my old keyboard for $15, nothing weird, just need to make space on my desk"
0,"i’m giving away some hoodies before break—totally legit, just don’t want to throw them out"
0,"my org is collecting books for donation, DM if u got any lying around"
0,"i made extra banana bread and don’t trust myself to eat it all, come grab a slice in the lounge"
0,"reminder that tutoring hours changed this week, not trying to scam u i promise"
0,"i have an extra HDMI cable if anyone needs one for dorm setups, free"
0,anyone want this unopened bag of rice? i accidentally bought 3
0,"selling my old monitor for 20 bucks, pickup only, no transfers or weird stuff"
0,"my roommate left behind a bunch of notebooks—if someone wants them, they're yours"
0,"lost my ID earlier, if someone finds it pls lmk (no, this isn't a scam lol)"
0,"someone left a hoodie in the study room, i put it on the table by the window"
0,"i baked cookies and they kinda slap, free to anyone studying in the lounge rn"
0,"nah we had something similar tho, last spring we had a Leetcode competition (Hackday)"
0,That’s tough
0,we may run that back in the spring or something hackathon like just stay tuned 👀
0,"Hello, we are doing a survey about ethics in the school of engineering for class. If you have the time, we would really appreciate it if you could fill it out! It is only 5 questions
https://docs.google.com/forms/d/e/1FAIpQLSexqM1zINygcsAnFFpLAammJwxBDD2kSNNBT123yvsjkcsTJg/viewform?usp=header"
0,ayyyyy congrats bro!
0,Thank you for the event today 😊
0,Outside by the door you have to check in
0,Streets saying free food & priority for internship opportunities👀👀
0,Anyone not going to umd homecoming game and has an extra student ticket please slide por favor
0,"Is there any tutoring available for python, specifically Inst-326"
0,"Get ready for a 2-in-1 AWS + Generative AI experience hosted by Code:Black x BES x Colorstack UMD x AWS!

📅 Date: Thursday, November 6th, 2025
🕕 Time: 6:00 PM – 8:30 PM
📍 Location: Edward St. John (ESJ) — Begins in Room 0202

💡 AWS Basics (ESJ 0202)
Learn the fundamentals of cloud computing, explore core AWS services, and see how they power real-world applications.

🧠 Intermediate Generative AI (ESJ 0215)
Dive into prompt engineering, fine-tuning models, and hands-on GenAI use cases.

🍕 Free food, tech learning, and networking — all in one evening!
Bring your laptop, curiosity, and your friends

📲 Scan the QR code to RSVP!"
0,Streets saying Amazon is reviewing resumes for open internship & full time roles for interviews with rsvp link👀👀
0,"Hey yall, if anyone potential wants some cash, I have a friend who has a business who needs helping developing/deploying a mobile app. Lmk if you interested"
0,"If you’re not on the way already, be on your way🙌🏽"
0,"Quick PSA check your Meta portal every few days, they’ll have prescreen tasks and updates without sending any emails out"
0,"Hi guys, if you’re selling your Afro tech tickets, please let me know ￼"
0,who wants a an extra ticket
0,COME IF YOU DONT WANT TO MAKE MIMI SADDDDDD‼️
0,"If you also have any items to donate, we’ll be collecting at the gbm as well!"
0,has anyone done the mech e engineering management pathway?
0,National society of freaky engineers🫩💔
0,We might need a doctor and a police officer on site for tmmw
0,what if I made a machine that catapults pies every 10 second? And call it the Pie-ronator onna Dr. Doofenshmirtz tip
0,"ALSO, BES will be having an AcEx study session this WEDNESDAY at 5:00 pm in KEB 1107! Come ready to lock-in, learn, and  study with others. Snacks will be provided! 

📅 Nov 5
🕕 5:00 PM
📍 KEB 1107
🍽️ Snakcs Provided"
0,"‼️TERP TECH PATH‼️
Join us as we meet our mentors and teammates for project development.
Anyone is welcome to come and hangout, even if you’re not on a project team.
Snacks will be provided!
"
0,Hey yall! Congrats on making it half way through the semester!!! How are we feeling? 👀
0,"Hey, i think i left my water bottle in the lounge yesterday"
1,"Giving away Morgan Wallen tickets for free, lmk if anyone is interested in it. (508) 239-9914"
0,You still need a ticket?
0,anyone got two tickets to the football game ?
0,I’m selling my hoco game ticket if anyone wants it
0,anybody got tickets for the hall cp event if they not going 😭😭😭
1,💰 Earn $500/day working from your phone! DM me now!
0,Bro send the link from the last lecture
1,URGENT: your account will be locked. Verify here: http://tinyurl.verify
1,🚨 ALERT: unusual activity detected. Confirm identity immediately.
0,Lol why did the professor give us 3 assignments at once😭
0,Y’all trying to study later tonight?
0,Reminder: meeting at 8pm in the group chat call
1,Final notice: Your subscription expires today. Click to renew.
1,"Hey, can you help me with something? Look at this link real quick 👉 http://scam.co/hack"
